grup;nom;codis
VTC;Totes;3901,3867,3902,3903,3904,3905,3906,3907,3908,3909,3910,3911,3912,3864,3856,3915,3857,3913,3916,3858,3917,3918,3919,3859,3860,3998,3933,3937,3938,3929,3939,3850,3851,3865,3877,3855,3853,7491,7001,7003,7492,7494,7436,7495,7437,7493,7496,7438,7497,7446,7447,8107,7500,7748,7504,7505,7510,7499,7476,7001,7460,7539,7540,7541,7542,7478,7475,7543,7544,7578,7579,7583,7584,7592,7463,7459,7462,7471
VMP;Circulació de risc;1724,1730,1731,1732,1733,1734,1735,1736,1737,1738,1776,1300,1441,1617,1618,1619,1632,1639,3283,3289,3294,3298,3301
VMP;Circulació per on no correspon;1123,1721,1722,1723,1725,1741,1745,1749,1750,1751,1753,1755,1798,
VMP;Elements de seguretat;1739,1740
VMP;Velocitat;1742,1743,1744,1746,1747,1748,1752,1754
VMP;Estacionament;1793,1794,1795,1796,1797
VMP (activitat econòmica);Circulació abusiva;1760,1762,1764,1767,1768
VMP (activitat econòmica);Circulació per on no correspon;1761,1763,1765,1766
VMP (activitat econòmica);Elements de seguretat;1759
VMP (activitat econòmica);Estacionament;1771,1772,1773,1774,1775
VMP (activitat econòmica);Formació i informació;1769,1770
VMP (activitat econòmica);No complir requisits;1756,1757,1758,1777,1778,1779,1780,1781,1782,4007
Distraccions a la conducció;Distraccions;1443,1468,1585,1591,1617,1618,1620
Distraccions a la conducció;Semàfors;1397,1437,1438,1441,1504,1505,1559,1560,1565,1614
Platges;Embarcacions;2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2092,2093,2094,2085,2086,2087,2088,2089,2090
Platges;Venda ambulant;6790,6795,6850,6851,6852